               Class      Images      Labels         P          R         mAP@.5     mAP@.5:.95
                 all         559        1986        0.85       0.844       0.863       0.636
             Bandeja         559         499       0.936       0.924       0.978       0.907
      Carne de cerdo         559           3       0.803       0.667       0.789       0.391
              Fideos         559           3       0.743       0.667       0.807       0.679
               Plato         559         496       0.991       0.908       0.938       0.846
               Arroz         559         205       0.869       0.903       0.938         0.6
         Hamburguesa         559         118       0.924        0.93       0.973       0.598
        Carne molida         559          55       0.901       0.988       0.953       0.748
   Budin de verduras         559           3       0.795           1       0.995       0.896
           Ensaladas         559           9       0.772       0.778       0.824       0.533
       Pescado frito         559          16       0.895       0.938       0.982       0.683
      Pollo arvejado         559          45       0.856       0.978        0.97       0.717
         Pollo asado         559         107       0.955       0.981        0.99       0.677
               Huevo         559           6       0.774           1       0.995       0.447
          Charquican         559           6       0.749           1       0.995       0.816
            Lentejas         559          80       0.908       0.372       0.557       0.418
                Pure         559         120       0.969       0.983       0.995        0.67
            Vienesas         559          66           1           0    0.000775    0.000775
             Porotos         559          45       0.977       0.958       0.977       0.944
          Tallarines         559          63       0.993       0.937       0.947        0.75
        Papas fritas         559          23        0.53           1       0.984       0.619
   Estofado de carne         559          15       0.864           1       0.995       0.777
               Carne         559           3         0.5       0.667       0.394       0.272
