               Class      Images      Labels           P           R      mAP@.5     mAP@.5:.95: 
                 all         951        1425       0.802       0.768       0.768       0.571
             Bandeja         951          77           1           0      0.0851       0.074
      Carne de cerdo         951          47       0.873       0.809       0.867       0.468
              Fideos         951          89       0.952       0.893       0.939       0.507
               Plato         951          74           1           0      0.0948      0.0785
               Arroz         951          66      0.0891      0.0152       0.146      0.0989
         Hamburguesa         951         143       0.638       0.728       0.616       0.451
        Carne molida         951          55        0.91       0.964        0.94       0.745
           Ensaladas         951           9       0.922       0.778       0.812       0.628
       Pescado frito         951          18       0.759       0.944        0.95       0.723
      Pollo arvejado         951          44       0.885       0.977       0.946       0.708
         Pollo asado         951          72       0.594       0.733       0.617       0.478
               Huevo         951          18        0.73         0.9         0.9       0.371
            Lentejas         951          84       0.933       0.659       0.773       0.629
                Pure         951          79       0.495       0.633        0.55       0.399
            Vienesas         951          66           1           0     0.00383      0.0011
             Porotos         951          45       0.863       0.978       0.975       0.916
          Tallarines         951          63       0.983       0.927       0.945       0.774
        Papas fritas         951          23       0.726           1       0.926       0.717
   Estofado de carne         951          28       0.864           1       0.935       0.837
     Carne de vacuno         951          12        0.84       0.877        0.94       0.621
     Pastel de carne         951          44       0.964       0.682       0.801       0.608
               Pollo         951          67       0.972       0.985       0.992       0.818
   Zapatillo relleno         951           7       0.928           1       0.996       0.967
     Pastel de papas         951           9       0.906       0.778       0.955       0.779
    Fideos espirales         951          22        0.42       0.955       0.488       0.387
       Pollo apanado         951          15       0.605           1       0.995       0.802
    Carne mongoliana         951          30       0.727           1       0.928       0.784
      Pollo teriyaki         951          18       0.967           1       0.995       0.822
   Choclo a la crema         951          29       0.721       0.483       0.647       0.306
 Strogonoff de pollo         951          55       0.976       0.891       0.942       0.406
         Vegetariano         951          11       0.506           1        0.87       0.705
       Salsa alfredo         951           6       0.913           1       0.995       0.677
100 epochs completed in 29.721 hours.

Optimizer stripped from comida_pucv\test_8\weights\last.pt, 75.1MB
Optimizer stripped from comida_pucv\test_8\weights\best.pt, 75.1MB
